,gene1,gene2,cost,psi
1516,CEP41,KIAA0146,32.44436118969983,5.543987035746694
2610,FRAS1,MTRNR2L6,32.46225124977914,0.36959913571644626
3174,HYLS1,UBE2C,32.502815557866796,5.543987035746694
1687,COMMD2,NCAPD2,32.50686553489828,5.91358617146314
1967,DDX6,PITPNB,32.52975553344144,5.91358617146314
4504,RAD51AP1,SLC39A14,32.53862109440338,5.91358617146314
3367,KIF23,UBE2C,32.54824459676234,5.91358617146314
3486,LARS,MRPL32,32.55362544345438,0.36959913571644626
1591,CIR1,RBM6,32.556836595568285,5.91358617146314
3111,HPS3,NT5C2,32.57283792409743,5.543987035746694
4222,PGM3,SLC19A2,32.577900224288534,0.7391982714328925
39,ACACA,DNMT3A,32.6166258073131,5.91358617146314
3536,LMO3,ZNF260,32.62051044373018,5.543987035746694
3110,HPS3,IFT81,32.620731684411695,5.543987035746694
36,ACACA,ATP1B3,32.64818142036755,0.36959913571644626
3918,MTRNR2L6,TMEM194A,32.6548045261093,5.91358617146314
2499,FAM169A,PPM1A,32.680797982056376,5.543987035746694
3026,HNRNPA0,KRTCAP2,32.68846852446376,0.36959913571644626
4737,SERPINB9,USP9X,32.70993647252719,0.7391982714328925
2668,FXR1,TM9SF3,32.71800525600495,0.36959913571644626
1662,CMTM6,SELS,32.72166176837113,0.36959913571644626
4858,SMC2,TM9SF3,32.72173103548415,0.36959913571644626
221,ANKRD50,STAT1,32.73319841030598,0.7391982714328925
3590,LUC7L3,RBM25,32.73808032635169,5.91358617146314
4030,NSRP1,ZNF621,32.74807060137286,5.91358617146314
4285,PLK1S1,TNKS,32.78472496695744,0.7391982714328925
3253,ITCH,PITPNA,32.791976374120985,0.7391982714328925
4272,PKN2,ZDHHC20,32.79762580933711,5.543987035746694
97,ACVR2B,TNRC6B,32.800409378452265,0.36959913571644626
0,AACS,B4GALT1,32.82183399465321,5.543987035746694
2854,GTF2A2,SRSF1,32.82604751464952,0.36959913571644626
1686,COMMD2,MON2,32.8445838270494,5.543987035746694
3578,LSM7,RPS23,32.85249135462349,0.36959913571644626
3049,HNRNPA2B1,SET,32.87416074005909,0.36959913571644626
598,AURKA,PLK1,32.89856422080498,5.91358617146314
3226,INPP5F,TNRC6B,32.92647398450177,5.91358617146314
3541,LPIN3,SRFBP1,32.931117139133086,5.543987035746694
462,ASPH,UNC13A,32.9529321021733,5.543987035746694
1073,CAMKV,GEMIN5,32.9531338066535,5.543987035746694
4817,SLC29A1,TNIK,32.96225944819235,5.543987035746694
4424,PTBP1,UBTF,32.97546297421496,5.91358617146314
632,B3GNT7,TKT,32.99674853011302,0.36959913571644626
1308,CCNYL1,EP400,33.00119005573616,5.543987035746694
676,BCAT1,L1TD1,33.005334813710036,0.36959913571644626
3090,HNRNPH1,SOX11,33.00561768150017,0.36959913571644626
4283,PLK1,UBE2C,33.034931589782346,5.91358617146314
1574,CHD9,PTPN4,33.0463730543408,5.543987035746694
1497,CENPK,ITM2A,33.04718764468212,5.91358617146314
2734,GAPDH,TUBB,33.06996557769422,0.36959913571644626
4729,SEP15,SPATS2L,33.09661546814858,0.36959913571644626
3631,MAPKAPK3,PEG3,33.09950521862239,0.7391982714328925
3576,LSM7,RPL41,33.10674358256289,0.36959913571644626
1975,DENND5A,WDR11,33.129529931749076,5.543987035746694
1182,CCDC141,INPP5F,33.13662279866402,0.7391982714328925
2657,FXR1,LARP7,33.14039103623838,0.36959913571644626
634,B4GALT1,CKAP4,33.15897128075416,0.36959913571644626
1995,DERA,MED14,33.17304177143332,5.543987035746694
1883,DARS2,RBM6,33.18669415640297,0.36959913571644626
4346,PPP1CB,TRA2B,33.18773684153085,0.36959913571644626
1512,CEP290,RAB3B,33.21749901178293,0.7391982714328925
2658,FXR1,LUC7L3,33.21854477563447,0.36959913571644626
4997,TMEM212,ZNF621,33.22100976364179,0.36959913571644626
4249,PHLDA1,USP9X,33.22726175103858,5.543987035746694
4019,NPAT,WDR59,33.270394949619295,5.543987035746694
2134,DSCR3,KIAA1109,33.27213565134299,0.7391982714328925
937,C14orf129,FXR1,33.29468651881806,5.91358617146314
1705,COQ9,CTTNBP2,33.299810951058866,0.7391982714328925
674,BCAT1,HNRNPA2B1,33.30057730940477,0.36959913571644626
2897,H3F3A,RPL7,33.32385277032761,0.36959913571644626
3440,L1TD1,TRA2B,33.32803915470048,0.36959913571644626
534,ATP1B3,DIAPH2,33.35062575175644,5.91358617146314
2090,DNMT3A,WDR3,33.37020326739959,0.36959913571644626
1202,CCDC93,VMA21,33.375070026051766,0.7391982714328925
1688,COMMD2,PEX2,33.382279439550615,0.36959913571644626
3956,NBR1,STT3B,33.38719558802054,0.7391982714328925
2671,FXR1,WAC,33.39156624504365,5.91358617146314
4877,SOX4,TLK1,33.41553667910226,0.36959913571644626
2874,GYG1,RANBP17,33.43621062401241,5.543987035746694
1727,COX6A1,RPL7,33.458878213790335,0.36959913571644626
150,AKAP11,INTS12,33.47371805183897,5.543987035746694
2702,GALM,JAK1,33.488112883080824,5.543987035746694
4103,OSTC,PPIB,33.49337790399531,0.36959913571644626
2213,EEF1A1,RPL7,33.50112507086703,5.91358617146314
1769,CREBZF,DDX11,33.54350990661783,0.7391982714328925
4946,TBL1X,XBP1,33.54953928345392,0.7391982714328925
4628,RPL7,SKP1,33.55034396516391,0.36959913571644626
3651,MARCKS,TLK1,33.56677498010934,0.36959913571644626
490,ASTN2,MTRNR2L6,33.57174665216842,0.36959913571644626
2704,GALM,ZSCAN2,33.57337599944034,5.543987035746694
2403,ENO1,TUBB,33.580640970718676,0.36959913571644626
4529,RBM25,SHPRH,33.583985340103865,5.91358617146314
